hotel,zip_code,numRev,Score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,good Fitness Center,Daily Housekeeping,Heating,Fitness Center,Room Service,Family Rooms,Parking,Airport Shuttle,Laundry,Free WiFi.1,Air Conditioning,Pet Friendly,Elevator,Facilities for Disabled Guests,Bar,Non-smoking Rooms,Restaurant,24-Hour Front Desk,WiFi,Dist,Label
Leon Hotel,10002,1390,8.3,8.7,8.5,7.8,8.6,8.1,7.2,8.3,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,3.1,2
Kimpton Hotel Eventi,10001,827,8.7,9,8.9,8.7,8.8,7.9,8.3,9.1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1.5,2
INNSIDE by Melià New York Nomad,10001,1405,8.6,8.7,8.6,8.5,8.8,7.8,8.7,9,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1.6,2
The Hotel at Times Square,10036,7343,7.9,7.9,7.8,7.5,7.6,7.6,8.5,9.2,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0.8,2
AKA United Nations,10017,135,9.2,9.3,9.5,9.3,9.4,8.4,9.5,9.3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1.2,2
Hilton Garden Inn New York/Manhattan-Chelsea,10001,1111,8.3,8.5,8.1,7.9,8.6,7.7,7.6,9,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1.6,2
Staybridge Suites - Times Square - New York City,10018,2691,8.2,8.1,8.1,7.9,8.4,7.6,8,8.8,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,2
Viceroy Central Park New York,10019,1349,7.9,8.2,7.8,7.4,8.3,6.9,7.3,9,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1650,2
The Iroquois New York,10036,692,8.9,9.2,8.7,8.4,9.2,8,8.8,9.6,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0.9,2
Hotel 48LEX New York,10017,759,8.4,8.5,8.6,8,8.6,7.5,8.6,9.1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,2
Moderne Hotel,10019,735,8.6,8.6,8.2,7.9,9.1,8.1,8.9,9.5,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1150,2
Hilton Garden Inn Times Square,10019,1928,8.3,8.5,8.4,7.8,8.2,7.6,8.4,9.2,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,2950,2
Gramercy Park Hotel,10010,319,8.4,8.9,8.7,8.4,8.3,7.3,8.2,9.1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,2.1,2
Crosby Street Hotel,10012,232,9.4,9.8,9.7,9.5,9.5,8.1,9.4,9.7,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,3.1,2
Hilton Garden Inn Times Square Central,10036,1448,8.3,8.5,8.3,8,8.1,7.6,8.6,9.3,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0.9,2
The Kimpton Muse Hotel,10036,897,8.9,9.2,8.9,8.6,9,8,7.3,9.4,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0.7,2
Hampton Inn Manhattan-Times Square North,10019,1676,8.2,8.2,8.2,7.9,8.3,7.6,8.1,9.1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,2150,2
Hilton Garden Inn New York Manhattan Midtown East,10022,926,8.4,8.7,8.4,8.1,8.7,7.9,8.3,8.8,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,2
Mondrian Park Avenue,10016,268,8.8,9.2,8.9,8.5,9.1,8.2,9.1,9.1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,1.6,2
Hampton Inn Manhattan/Downtown- Financial District,10004,704,8.3,8.7,8.2,8,8.5,7.8,7.9,8.5,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,4.3,2
Hilton Garden Inn New York/Tribeca,10013,612,8.2,8.4,8,7.9,8.5,7.7,7.8,8.8,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,3.1,2
The Gregory,10001,2155,7.9,8,7.8,7.3,8.1,7.2,7.4,9,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1.3,2
Crowne Plaza HY36 Midtown Manhattan,10018,348,8.7,9.2,8.9,8.6,8.9,7.9,8.7,8.9,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1.2,2
Hotel 32 32,10016,1275,8,8.2,7.9,7.6,8.3,7.3,8.1,8.7,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1.5,2
Residence Inn by Marriott New York Manhattan/ Midtown Eastside,10017,874,8.8,9.1,8.9,8.7,9,8.2,8.5,9.2,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1.1,2
Hampton Inn Manhattan Chelsea,10011,781,8.6,8.8,8.5,8.3,8.9,8.2,8.6,9,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1.8,2
