hotel,Score,Cleanliness,Comfort
Marriott's Sabal Palms,8.5,8.6,8.6
Rosen Inn Closest to Universal,8.5,8.3,8.2
Windsor Wonderland Home,9.2,9.2,9.4
Seaescape,9.4,9.6,9.7
Shoreway Loop l 2004-Two Bedroom Apartment,9.2,9.2,9.6
Residence Inn by Marriott Near Universal Orlando,9.5,9.8,9.7
White Crane Home by Florida Dream Homes,9.1,8.5,9.4
Six Bedrooms with Private Pool and Spa (1751),8.0,8.9,8.3
Orlando International Resort Club,9.0,9.1,9.1
Windsor Magic,8.9,9.0,9.5
Contessa Dr,9.8,9.6,9.8
Regal Oaks Three Bedroom Villa,9.3,10.0,8.3
Hampton Inn & Suites Orlando Airport at Gateway Village,8.9,9.1,9.0
101 Dalmatian's Den,9.4,9.5,9.5
SeaWorld - Disney Apartments by NUOVO,8.6,9.0,8.1
DoubleTree by Hilton Orlando East - UCF Area,8.9,9.1,9.0
The Windsor Wonderland 6 BR Villa,7.9,7.9,7.9
Windsor Hills Townhomes by IPG,7.8,7.3,7.3
FunQuest Condos at Windsor Hills Kissimmee,7.3,7.2,7.6
The Windsor Hills Resort-7664,8.8,8.8,8.8
Nemo's Nook,8.9,8.9,9.2
Luxury Villas in Encore Waterpark,9.1,9.1,9.2
Rosen Centre Hotel Orlando Convention Center,8.7,9.0,8.7
Festiva Orlando Resort,8.6,8.3,8.4
Hampton Inn & Suites Orlando International Drive North,8.8,8.9,8.8
Hampton Inn Lake Buena Vista / Orlando,9.0,9.1,8.9
2/3 Bed Condos Close to Disney,9.8,10.0,10.0
La Quinta Inn & Suites Orlando UCF,9.3,9.5,9.3
Tropical Palms Premium Three-Bedroom Cottage 40,7.9,8.2,7.5
Three Bedroom Condo First Floor Gated Community,9.9,10.0,10.0
Homewood Suites by Hilton Orlando North Maitland,8.9,9.0,9.2
SuiteLivingPlus,9.0,9.5,9.4
Windsor Magic,9.1,9.3,8.9
La Quinta Inn & Suites Orlando Airport North,8.6,8.7,8.6
SpringHill Suites by Marriott Orlando Convention Center,8.7,8.5,8.7
Homewood Suites by Hilton Orlando Airport,9.0,9.1,9.1
Delta Hotels by Marriott Orlando Lake Buena Vista,8.7,8.9,8.9
Disney&Golf Holiday Home,9.6,10.0,10.0
Paradise Palms 4 Bedroom-3032,9.5,10.0,9.2
Regal Oaks Stay Orlando,9.4,9.8,9.6
Embassy Suites Orlando - North,8.5,8.5,8.5
Las Palmeras by Hilton Grand Vacations,8.9,9.2,9.1
Fairfield Inn & Suites by Marriott Orlando East/UCF Area,9.0,9.3,9.2
Paradise Palms 6 Bedroom-3150,8.8,8.5,9.0
Courtyard Orlando International Drive/Convention Center,8.7,9.1,8.7
The Courtyard at Lake Lucerne,8.8,8.9,8.8
Rosen Inn at Pointe Orlando,8.3,8.2,8.0
Sun Lake Resort-3126,9.1,9.6,9.2
Magic Tree Resort,9.0,8.9,9.2
Pool Paradise,9.2,8.9,9.6
Hampton Inn & Suites Orlando-John Young Parkway/South Park,9.2,9.4,9.3
Hampton Inn Closest to Universal Orlando,8.8,8.9,8.8
Celebration Suites 2 Bedroom Condo,9.1,9.1,9.1
Tropical Palms Standard Two-Bedroom Cottage 16,8.7,9.3,7.9
Apartment Nena,8.9,9.1,8.9
Vista Apartment Three Bedroom Apartment JU7,9.1,8.5,9.5
Hilton Garden Inn Orlando Lake Buena Vista,8.3,8.5,8.6
Vacation Home Rental Near Disney 27Il01,8.7,8.1,9.2
WorldMark Orlando Kingstown Reef,8.7,8.7,8.9
King Triton's Castle,8.7,8.5,9.3
Closest Vacation Home Holiday Rental 26Ds37,8.0,8.3,8.5
Rosen Shingle Creek Universal Blvd,9.1,9.3,9.3
Mickey's Beach House,8.7,9.0,9.0
The Alfond Inn,9.1,9.3,9.3
Residence Inn Orlando Convention Center,8.7,8.8,8.9
Hawthorn Suites By Wyndham Orlando International Drive,8.0,7.5,8.1
Windsor Hills Resort Kissimmee - Disney Area,8.4,7.9,8.0
Blue Heron Resort Condo 206,8.9,9.2,8.6
Tropical Palms Premium Loft Cottage 33,9.1,9.0,8.5
Audez Tropical Haven,9.0,9.0,9.0
