hotel,zip_code,numRev,Score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,good Fitness Center,Daily Housekeeping,Heating,Fitness Center,Room Service,Family Rooms,Parking,Airport Shuttle,Laundry,Free WiFi.1,Air Conditioning,Pet Friendly,Elevator,Facilities for Disabled Guests,Bar,Non-smoking Rooms,Restaurant,24-Hour Front Desk,WiFi,Dist,Label
Comfort Inn Times Square West,10034,528,8,7.7,7.6,7.5,8,7.7,8.5,9.2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.8,0
Holiday Inn Wall Street,10038,629,7.9,8.1,7.8,7.4,8.4,7.4,8.7,8.5,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,4.3,0
"Times Sq, Broadway, Central Pk- Steps Away",10019,38,8.2,8.2,8,7.9,8.2,7.8,9.4,9.2,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1650,0
3/2 Central Park #4,10019,6,8,8.3,8.3,8.3,8.5,6.3,8.3,4,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,650,2
Holiday Inn Express Manhattan Midtown West,10036,243,7.7,8,7.5,7.5,8.1,7.1,8.4,7.9,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0.7,1
Renovated 3 Bedroom Loft Manhattan #44,10002,25,8.1,8.9,7.9,8.2,8.6,7.3,8.8,7.8,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,3.7,0
Loft with Central Park View,10025,54,8.7,8.9,8.4,8.4,9.2,8.1,9.2,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,2.6,0
Studio Apartment - East 31st Street #30,10016,26,7.8,7.7,7.6,7,7.6,7.6,10,9.1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1.6,1
6 Columbus - A SIXTY Hotel,10019,286,7.6,7.8,7.1,7,7.8,6.6,7.5,9.1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,500,1
Studio Plus - Cozy Apartments,10001,250,7.1,6.5,6.6,6.6,7.4,6.8,8.2,8.6,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1.5,1
Seafarers International House,10003,1858,7.5,7.3,6.7,6.6,7.7,7.7,5.7,9,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,2.4,1
Sunny Three Bedroom Apartment Lower East Side,10002,7,7.9,7.5,7.5,8.2,8.8,7.5,10,7.9,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,3.1,0
Hamilton Heights: Luxurious 2 Bedroom Home,10031,18,8,8.2,8.1,7.8,7.7,7.5,10,8.5,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3.7,0
Da Vinci Hotel,10019,1097,7.6,7.7,7,6.8,7.8,7.2,7.7,9.1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1000,1
Parker New York,10019,611,7.7,7.9,7.6,7.3,8,6.5,7.6,8.9,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1800,1
Modern Studio Apartment - Midtown East L,10017,5,7.8,7,8.5,8,6.5,7.5,9.5,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1.3,2
"Nyma, The New York Manhattan Hotel",10001,3892,7.6,7.5,7.4,7.1,7.6,7.2,7.5,8.7,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1.5,1
Hilton Club New York,10019,21,8.5,8.8,8.8,8.6,8.1,7.2,10,9.7,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,2300,0
2 Bedrooms Suite in Financial Disctrict,10005,17,7.8,8.2,7.5,7.5,7.4,7.2,10,9,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,4.3,1
New private studio-apartment,10029,31,8,8.2,8.2,7.9,8.6,7.5,9.2,7.4,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,3.1,0
"The Paul, an Ascend Hotel Collection Member",10001,2016,7.8,8,7.6,7.3,7.9,7.2,8.1,8.7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1.6,1
Row NYC at Times Square,10036,13536,7.1,7,6.8,6.8,7.1,6.4,7.6,8.8,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0.7,1
The Maxwell New York City,10022,924,7.6,7.8,7.4,7.2,7.7,6.7,5.9,8.5,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1
East Side 3 bed 2 bath (6),10022,13,7.3,6.9,6.6,7.1,8.1,6.6,8.7,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1.1,2
