hotel,zip_code,numRev,Score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,good Fitness Center,Free Parking,Fitness Center,Family Rooms,Parking,Airport Shuttle,Air Conditioning,Free WiFi.1,Outdoor Pool,Pet Friendly,Bar,Non-smoking Rooms,WiFi,Dist,Label
Hampton Inn & Suites Orlando/Downtown South - Medical Center,32806,380,9.2,9.6,9.5,9.3,9.4,8.6,8.3,8.7,0,0,0,1,1,0,0,1,0,0,0,1,0,2950,0
Parkway International Celebration Area By Diamond Resorts,34746,454,8.9,8.7,9.1,8.8,8.9,9,8.6,8,0,1,0,1,0,0,0,1,1,0,1,1,0,16.2,0
Rocco's Retreat,34747,13,8.5,8.6,8.8,8.6,8.1,8.3,7.5,8.5,0,1,0,0,0,0,0,1,1,1,0,1,0,17.4,0
Holiday Inn Express & Suites - Orlando At Seaworld,32821,222,9.2,9.4,9.3,9.3,9.2,8.8,9.3,9.3,0,1,0,1,0,0,0,1,1,0,0,1,0,9.3,0
Mystic Dunes Resort & Golf Club By Diamond Resorts,34747,1495,8.7,8.7,8.9,8.7,8.6,8.6,7.6,8.8,0,1,0,1,0,0,0,1,1,0,1,1,0,19.3,0
Wingate By Wyndham - Orlando International Airport,32822,769,8.7,8.9,8.8,8.5,8.5,8.4,8.7,8.9,0,1,0,1,0,0,0,1,0,0,0,1,0,6.2,0
Comfort Suites Orlando Airport,32809,1067,8.7,8.8,8.9,8.5,8.6,8.6,8.5,8.5,0,0,0,0,1,0,0,1,1,0,0,1,0,5.6,0
Hampton Inn & Suites Orlando-East UCF,32817,456,9.1,9.4,9.3,9.2,9.2,8.9,8.8,8.8,0,1,0,1,0,0,0,1,1,0,0,1,0,10.6,0
Aloft Orlando Downtown,32801,276,8.6,8.9,8.8,8.6,8.9,7.7,8.9,8.9,0,0,0,1,1,0,0,1,0,1,1,1,0,1500,0
Playhouse,34747,6,8.8,8.8,9.6,9.2,8.3,8.3,8.3,3,0,1,0,0,0,0,1,1,1,1,0,0,0,20.5,2
Encore Club Orlando,34747,6,9.9,10,10,10,10,9.6,10,5,0,1,0,1,0,0,0,1,1,1,1,0,0,20.5,2
The Florida Hotel & Conference Center - BW Premier Collection,32809,715,8.8,8.8,8.8,8.8,8.9,8.2,8.1,9.1,0,1,0,1,0,1,0,0,1,0,1,0,1,6.2,0
JW Marriott Orlando Grande Lakes,32837,552,8.8,9.1,9.1,9.1,8.8,8,7.5,8.7,0,0,0,1,1,1,0,1,1,0,1,0,0,9.3,0
Best Western Lake Buena Vista – Disney Springs® Resort Area,32830,1447,8.3,8.1,8.1,7.9,8.6,7.9,8.3,9,1,0,0,1,1,0,0,1,0,0,1,1,0,13,1
Embassy Suites by Hilton- Lake Buena Vista Resort,32836,645,8.4,8.3,8.5,8.5,8.7,7.9,7.9,8.5,0,0,1,1,1,0,0,1,0,0,1,1,0,11.8,0
Luxury Windsor Hills Condo,34747,78,8.7,8.7,8.9,8.6,8.7,8.6,9.5,8.9,0,1,0,1,0,0,0,1,1,0,1,1,0,19.3,0
Homewood Suites by Hilton Lake Buena Vista,32836,358,8.6,8.5,8.6,8.5,8.7,8.4,7.9,8.8,1,1,0,1,0,0,0,1,0,0,1,1,0,11.8,0
Fairfield Inn & Suites by Marriott Orlando Kissimmee/Celebration,34747,154,8.9,9.1,9,8.7,8.9,8.6,8.5,9,0,1,1,1,0,0,0,1,0,0,0,1,0,16.2,0
Embassy Suites by Hilton Orlando International Drive I Drive 360,32819,253,8.7,8.7,8.8,8.7,8.7,8.2,8,9,0,0,0,1,1,0,0,1,1,0,1,1,0,8.1,0
"Grand Bohemian Hotel Orlando, Autograph Collection",32801,293,8.8,9.1,9,8.8,8.8,7.8,9.1,8.8,0,0,0,1,1,0,0,0,1,0,1,1,0,1950,0
Embassy Suites Orlando - Downtown,32801,248,8.7,8.9,8.7,8.7,8.9,7.8,10,9,1,0,0,1,1,0,0,1,0,0,1,1,0,0.7,0
Holiday Inn Orlando East-UCF Area,32826,253,8.6,8.8,8.8,8.6,8.7,8.1,8.5,8.4,0,1,0,0,0,0,0,1,0,0,1,1,0,10.6,0
Clarion Inn & Suites Universal Studios Area,32819,3357,8.3,8.5,8.1,8.1,8.2,8.2,8.4,8.6,0,1,0,1,0,0,0,1,1,0,1,1,0,5.6,1
Hyatt Place Orlando Airport,32812,408,8.6,8.7,8.8,8.4,8.8,8.3,8.6,8.8,0,1,0,1,0,0,0,1,0,1,1,0,0,6.2,0
