hotel,Score,Cleanliness,Comfort
Downtown LA Brilliant 5 Beds Pool,8.6,9.3,8.9
Sirtaj Hotel,8.4,8.7,8.2
"The Ritz-Carlton, Los Angeles L.A. Live",8.6,9.0,8.7
Urban Downtown LA Resort Style Suite,7.9,7.8,7.5
Titta Inn,8.3,8.4,8.1
Penthouse Highrise,8.8,8.8,8.8
"Luxury Apartment with pool, by the Pacific Ocean",8.7,8.5,8.9
Wyndham Santa Monica At The Pier,7.8,8.1,7.7
W Hollywood,7.9,8.3,8.1
Le Parc Suite Hotel,8.3,8.3,8.6
Hotel Shangri-La,7.9,8.1,7.7
Popular Downtown LA Mediterranean View Penthouse,8.2,8.1,8.2
Bluetiful Apartment Near to convention center,9.2,9.6,8.8
Luxe Sunset Boulevard Hotel,8.5,8.8,8.7
Urban Hollywood Blvd Dream Penthouse,9.2,9.4,9.4
Popular Hollywood Blvd Plush Suite,9.1,9.4,9.9
Luxury Apartment Near Staples Center,9.5,9.8,9.7
Premier DTLA Convention Center Apartment,9.3,9.5,9.5
Hotel Normandie - Los Angeles,8.3,8.7,8.3
Penthouse with a Stunning Hollywood View,8.5,8.3,8.3
Urban Hollywood Tropicana Suite,8.1,7.9,8.2
Downtown Celebrity Suite Near Staples Center,8.3,7.7,8.8
Regency Inn in Los Angeles,8.3,8.8,8.6
Boutique 444 Venice Beach,8.8,9.1,8.8
Charlie Chaplin Historic Hollywood Home,8.3,7.5,8.7
Downtown LA Paradise Resort Suite,8.5,8.8,8.9
"The Ritz-Carlton, Marina del Rey",8.5,9.0,8.8
Urban Two Level Bellagio Penthouse,9.2,8.5,9.6
Urban Downtown LA Elegant Suite Los Angeles,8.8,9.3,8.6
Heart of Hollywood,8.5,8.3,8.4
Popular Downtown LA Spectacular Suite,9.0,9.2,9.2
Holiday Inn Express Hollywood Walk of Fame,8.0,8.1,8.1
Urban Hollywood James Bond Suite,8.5,8.6,8.6
Kings Home,9.2,8.9,9.2
Sunset Tower Hotel,8.7,9.1,8.9
Urban Dtla Two Level Fashion Loft,9.5,9.7,9.7
2 Bedroom Celebrity Loft,9.0,8.9,8.9
Downtown L.A. Resort Comfort Life and 4Beds,8.9,8.9,9.0
Popular Downtown LA Luxury Palazzo Resort Style Suite,8.5,8.5,8.3
Urban Hollywood Blvd Grammys Suite,8.6,8.4,8.8
Courtyard by Marriott Los Angeles L.A. LIVE,8.6,9.0,8.8
Hollywood 6 beds Vip Pool Suite,8.0,8.2,8.1
Popular Downtown LA Bellagio Resort Suite,7.9,7.5,7.9
Urban Downtown LA Chanel Suite,8.7,8.6,8.6
Charming and Lovely apt!,8.8,9.0,8.5
"Tilt Hotel Universal Hollywood, an Ascend Hotel Collection Member",7.9,8.0,8.0
AKA Beverly Hills,9.3,9.2,9.6
Popular Downtown LA VIP Modern High Rise Suite,8.8,8.7,8.6
Popular DTLA Designer Suite With Massive Views,8.8,8.4,8.8
Urban Hollywood Oscars Suite,8.6,8.6,8.9
Millennium Biltmore Los Angeles,8.1,8.3,8.1
Urban Hollywood Universal Studios Suite,8.5,8.4,8.5
Global Luxury Suites at Wilshire,8.5,9.4,9.2
"H Hotel Los Angeles, Curio Collection By Hilton",8.9,9.3,9.2
Urban DTLA Corporate Executive Suite,8.5,8.9,8.6
Popular Downtown LA Parlor Resort Style Suite,7.9,7.7,8.5
Venice Style Studio Venice Beach,8.3,8.6,8.0
Downtown LA Clean and Cozy Suite,8.7,9.0,9.5
JW Marriott Los Angeles L.A. LIVE,8.8,9.1,9.0
Hollywood Blvd Exclusive Apartment,8.4,8.9,9.1
Urban Downtown LA Modern Suite,9.1,9.1,9.4
Glendon Apartments,8.1,7.9,8.2
"SLS Hotel, a Luxury Collection Hotel, Beverly Hills",8.2,8.5,8.3
