hotel,Score,Cleanliness,Comfort
NY Away - Luxury Apartments in the Financial District,6.1,6.3,6.1
Times Square West Midtown Apartment,7.2,6.7,6.9
The Mansfield Hotel,7.3,7.4,6.7
The Nomad Suites,7.5,7.3,7.2
Studio Plus - Apartment Suites,7.1,6.7,6.8
NYC apartments amazing location,7.2,6.9,6.3
Midtown West Hotel,6.7,6.9,5.8
East Side 3 bedroom 2 bathroom (7),7.7,8.0,6.7
Luxury 2B/1B UWS GEM,7.1,6.7,5.6
Blue Moon Boutique Hostel & Hotel,7.7,8.3,7.5
Hotel 91,7.4,7.8,7.2
Two Bedroom Apartment - Between Park Ave & Lexington Avenue - Midtown East,6.4,7.3,5.8
Renaissance New York Hotel 57,7.9,8.3,7.7
Lovely Two Bedroom Apt,7.1,7.3,7.0
The Melva Inn,6.6,6.1,6.4
Jazz on the Park Youth Hostel,6.7,6.3,6.2
Steps from Times Square Central Park BEAUTIFUL 2 BDR APT,7.4,7.1,7.2
Great Location Midtown East 35th Street and Third Ave,6.6,7.0,6.2
Carlton Arms Hotel,7.2,6.8,6.5
Studio in Times Square,6.0,5.6,5.4
NYC Best apartment near the UN,6.2,5.5,6.1
Broadway Hotel & Hostel,7.1,7.0,6.4
Comfort 5 Min Times SQ,8.9,8.6,8.9
U.S. Pacific Hotel,6.3,6.1,5.3
Midtown 60th Street Apartment,6.4,6.0,5.7
3 blocks from Times Square and quick walk to Central Park,6.6,6.7,5.6
Hamilton Heights 4 Bedroom,6.4,7.1,6.6
The Ideal 3 Bedroom Getaway by Central Park UWS,6.7,6.8,6.7
BRAND NEW ULTRA MODERN NOMAD PARK AVENUE(31 AND PARK) 800 FT 2BR 1BA W/D ELEVATOR!,7.8,7.8,7.8
Hotel 309,6.3,5.7,5.6
3 Bedroom modern apartment - Times Square,7.6,7.8,7.3
Upper East One Bedroom Apartment,6.4,6.6,6.4
Windsor Hotel,6.2,5.5,5.9
Hotel Five44,7.3,6.6,6.9
Chelsea Art Suites,6.9,6.4,6.1
East Side 3 Bedroom and 2 Bathroom Apartment (3),7.8,8.0,7.2
Clarion Hotel Park Avenue,7.6,7.8,6.8
Lord & Moris,6.7,6.8,6.4
Morningside Inn,5.6,5.3,5.0
Harlem YMCA,7.1,7.1,6.3
Luxurious Three Bedroom Apartment,6.3,6.3,5.7
Canal Loft Hostel & Hotel,7.6,8.3,7.5
The Franklin Hotel,7.3,7.7,6.9
Royal Park Hotel & Hostel,6.8,6.6,6.2
#1Midtown Manhattan Loft Apartment,7.6,7.8,6.9
Executive Class at MTS Hotel,7.3,7.4,7.4
Central Park West Hostel,6.1,5.4,5.3
Renovated Midtown East Apartments,6.5,6.5,5.9
Cozy Two Bed Apt in Murray Hill,6.7,6.5,5.5
New York Apartments,6.7,6.6,6.2
Four Bedroom Apartment - Eldridge St. #38,6.9,7.5,6.4
NY Away - The ideal Family & Friends 4 Bedrooms / 4 Bathrooms in Manhattan,6.5,6.3,6.0
Interfaith Retreats,7.9,8.1,6.6
Mid Town East 28th Street Apartments Next to Times Square,6.5,6.9,6.0
Gramercy Park Apartments,7.3,7.3,7.0
The Harlem Flophouse,6.9,7.1,6.7
Luxury One Bedroom Apartment - Garment District,7.1,7.5,6.9
Park Ave Apartments Midtown Next to Times Square,6.4,6.7,5.6
Hello Broadway,6.7,6.4,6.0
Redford Hotel,6.9,6.7,6.6
Hamilton Heights Beauty,5.5,5.0,4.8
Lincoln Center Luxury Apartments,7.5,8.2,7.7
Washington Heights Apartment,5.6,5.2,5.5
Candy Hill Harlem,7.4,7.2,7.5
Yorkville Apartments -Upper East Side,6.6,6.3,6.6
Beautiful Downtown Apartments NYC,6.0,5.5,5.5
Central Affordable Three Bedroom Apartment,6.8,6.0,6.8
Midtown East Apartments,7.9,8.1,7.6
Central Park Studios,7.3,5.9,6.7
One Bedroom Apartment - Allen Street # 28,7.1,6.9,6.8
The Bowery House,6.5,6.4,5.3
Studio Plus - One-Bedroom APT,7.3,7.0,7.0
The Grand NYC Apartments,5.3,5.0,4.8
Cosy 1 Bed Apartment Midtown West near Hell's Kitchen & Macy's,4.8,4.0,4.5
Studio Apartments - West 31st Street,6.0,5.3,5.7
Hamilton Heights: Renovated Apartments,5.3,5.2,5.0
"Two-Bedroom Apartment, Express Subway at Columbia Hospital",7.4,8.0,7.9
Gramercy Superior Apartments,6.4,6.0,6.1
NY Away - Financial District 2-Bedrooms - 608,7.0,7.5,7.3
CoHost Homes,6.3,7.5,6.5
Renovated Studio Loft Downtown NYC #43,7.3,7.8,6.5
Upper East Suites,7.4,6.4,7.5
668 6th Ave 3rd floor,7.0,5.5,6.8
Luxury Living Suites,6.7,7.1,6.3
Loft 109,7.3,7.2,6.7
Studio Apartment - Financial District,6.5,6.0,6.6
Stylish Upper East Side 2 bed 2 bath,7.6,8.2,6.4
